destination_name,district,province,duration_days,budget_npr,category,activities,difficulty_level,description
Sedua,Sankhuwasabha,Koshi,4,22000,Village,"Trekking, Village Walk, Photography",moderate,Charming hillside agricultural village with traditional bamboo houses
Tashigaon,Sankhuwasabha,Koshi,8,35000,Village,"Trekking, Cultural Tour, Photography",difficult,The last permanent Sherpa village before entering high alpine wilderness
Arun Valley,Sankhuwasabha,Koshi,6,30000,Viewpoint,"Trekking, Bird Watching, Photography",moderate,"The deepest valley basin in Nepal, globally recognized for bird species"
Chichila,Sankhuwasabha,Koshi,5,24000,Village,"Trekking, Photography, Mountain Viewing",moderate,Gurung settlement famous for panoramic views of the Makalu range
Chainpur,Sankhuwasabha,Koshi,1,4500,Cultural,"Sightseeing, Handicraft Shopping, Photography",easy,Famous historic town known for casting premium brass Karuwa water vessels
Bhotkhola,Sankhuwasabha,Koshi,10,40000,Unknown,"Trekking, Cultural Tour, Photography",difficult,Remote northern trans-Himalayan region bordering Tibet
Kimathanka,Sankhuwasabha,Koshi,12,50000,Border Crossing,"Trekking, Photography, Cultural Observation",difficult,The furthest northern border frontier post along the Arun corridor
Matsyapokhari,Sankhuwasabha,Koshi,7,32000,Lake,"Trekking, Camping, Photography",difficult,A natural high alpine lake named for its unique fish-like profile
Yafu Village,Sankhuwasabha,Koshi,4,20000,Village,"Trekking, Cultural Tour, Photography",moderate,Indigenous settlement preserving ancient traditional hunting practices
Wana,Sankhuwasabha,Koshi,2,6000,Village,"Farm Tour, Photography, Cultural Tour",easy,Lower-altitude area filled with expansive cardamom and rice plantations
Lukla (Tenzing-Hillary Airport),Solukhumbu,Koshi,1,12000,Cultural,"Sightseeing, Flight Spotting, Trekking Prep",easy,Globally famous mountain airport and Everest gateway
Tengboche Monastery,Solukhumbu,Koshi,2,18000,Religious,"Trekking, Pilgrimage, Photography",moderate,Famed high-altitude Buddhist monastery with Everest backdrops
Khumjung Village,Solukhumbu,Koshi,2,16000,Village,"Trekking, School Visit, Photography",moderate,"Home of the Hillary School and the legendary ""Yeti Scalp"""
Salleri / Phaplu,Solukhumbu,Koshi,1,8000,Cultural,"Sightseeing, Homestay Experience, Local Food",easy,District headquarters; accessible by road with classic homestays
Gokyo Lakes,Solukhumbu,Koshi,8,35000,Lake,"Trekking, Camping, Photography",difficult,"Breathtaking turquoise, sacred alpine glacial lake systems"
Everest Base Camp (EBC),Solukhumbu,Koshi,14,80000,Trekking,"Trekking, Mountaineering, Camping",difficult,"The globally iconic base camp at 5,364m"
Kala Patthar,Solukhumbu,Koshi,13,78000,Viewpoint,"Trekking, Sunrise Viewing, Photography",difficult,"The ultimate 5,644m viewpoint facing the Everest icefalls"
Thame Village,Solukhumbu,Koshi,3,20000,Village,"Trekking, Cultural Tour, Photography",moderate,Historic home of legendary Sherpa mountaineers and climbers
Chhukung,Solukhumbu,Koshi,10,42000,Village,"Trekking, Camping, Mountain Viewing",difficult,Small glacial valley hamlet geared toward high-altitude climbers
Dingboche,Solukhumbu,Koshi,9,38000,Village,"Trekking, Acclimatization, Photography",difficult,High-altitude summer settlement bordered by stone walls
Lobuche,Solukhumbu,Koshi,12,55000,Trekking,"Trekking, Glacier Viewing, Photography",difficult,Glacial trail outpost adjacent to the Khumbu Glacier
Phortse Village,Solukhumbu,Koshi,4,22000,Village,"Trekking, Conservation Tour, Photography",moderate,Traditional village leading in high-altitude conservation efforts
Kharikhola,Solukhumbu,Koshi,2,10000,Village,"Trekking, Cultural Tour, Photography",moderate,Lower alpine agricultural village rich in Rai and Sherpa heritage
Okhaldhunga Bazaar,Okhaldhunga,Koshi,1,3500,Bazaar,"Sightseeing, Local Food, Shopping",easy,Historic market town showcasing the landmark historic countdown monument
Rumjatar,Okhaldhunga,Koshi,1,4000,Hill Station,"Sightseeing, Handicraft Shopping, Farm Tour",easy,Famous for its pasture lands and production of traditional wool Radi blankets
Kakani Hill (Okhaldhunga),Okhaldhunga,Koshi,1,3000,Hill Station,"Hiking, Photography, Mountain Viewing",moderate,High pine viewpoint overlooking deep river confluences
Champadevi Temple,Okhaldhunga,Koshi,1,2500,Religious,"Pilgrimage, Festival Visit, Photography",moderate,Revered ridge-top pilgrimage site hosting vibrant annual fairs
Pokali Waterfall,Okhaldhunga,Koshi,1,3500,Waterfall,"Sightseeing, Photography, Hiking",moderate,Stunning 130-meter high cascade; one of Nepal's longest drops
Molung River Valley,Okhaldhunga,Koshi,1,4000,River,"Fishing, Photography, Eco Tourism",easy,Fertile agricultural valley perfect for fishing and agro-tourism
Khiji Demba,Okhaldhunga,Koshi,2,6000,Village,"Homestay Experience, Cultural Tour, Photography",moderate,Sunuwar indigenous homeland developing community homestays
Tolu Gumba,Okhaldhunga,Koshi,1,4000,Religious,"Pilgrimage, Sightseeing, Photography",moderate,Historic Buddhist monastery located in the quiet upper highlands
Ragani,Okhaldhunga,Koshi,1,3500,Village,"Farm Tour, Photography, Cultural Tour",easy,Multi-ethnic village focusing on rich seasonal fruit farming
Khiji Chandeshwori,Okhaldhunga,Koshi,1,4500,Village,"Trekking, Photography, Village Walk",moderate,Gateway village supporting high-potential wilderness trails
Garamju,Okhaldhunga,Koshi,1,3000,Village,"Watermill Visit, Cultural Tour, Photography",easy,Traditional village maintaining old custom watermill practices
Manebhanjyang,Okhaldhunga,Koshi,1,2500,Bazaar,"Shopping, Local Food, Sightseeing",easy,Major highway trade node connecting the hills to the plains
Siddhicharan Park,Okhaldhunga,Koshi,1,2500,Cultural,"Sightseeing, Photography, Cultural Tour",easy,Cultural park honoring the national poet Siddhicharan Shrestha
Thulachhap,Okhaldhunga,Koshi,1,4000,Village,"Farm Tour, Hiking, Photography",easy,Model organic agricultural village utilizing community farming techniques
Bilandu,Okhaldhunga,Koshi,1,4500,Village,"Cultural Tour, Sightseeing, Photography",easy,"Remote, pristine valley showing traditional Newari and Rai lifestyles"
Biratnagar,Morang,Koshi,2,5000,Cultural,"Sightseeing, Shopping, Local Food",easy,"Metropolitan industrial city, provincial capital, and historical hub"
Biratnagar Haat Bazaar,Morang,Koshi,1,2500,Bazaar,"Shopping, Local Food, Cultural Observation",easy,Vibrant weekly open-air market showcasing cross-border trade
Kali Mandir,Morang,Koshi,1,1500,Religious,"Pilgrimage, Sightseeing, Photography",easy,"Centrally located, historically significant Hindu temple complex"
Virat Raja ko Darbar,Morang,Koshi,1,2000,Heritage,"Sightseeing, Photography, Cultural Tour",easy,Archaeological ruins tied to the ancient Mahabharata era
Letang,Morang,Koshi,1,3000,Cultural,"Sightseeing, Walking, Local Food",easy,Scenic inner-terai town where the low plains transition into green hills
Urlabari,Morang,Koshi,1,2500,Cultural,"Sightseeing, Forest Walk, Local Food",easy,Fast-growing plains town adjacent to dense community forests
Pathari,Morang,Koshi,1,2500,Cultural,"Sightseeing, Wetland Visit, Local Food",easy,Urban center hosting major settlement history and community wetlands
Mik Lajung (Morang Side),Morang,Koshi,1,4000,Hill Station,"Hiking, Camping, Photography",moderate,Lush foothill range offering scenic weekend camping options
Betana Wetland (Belbari),Morang,Koshi,1,3500,Eco Park,"Bird Watching, Photography, Nature Walk",easy,Biodiverse lake community forest home to rare tortoises
Rangeli,Morang,Koshi,1,2500,Cultural,"Sightseeing, Photography, Local Food",easy,Historic former district headquarters retaining old colonial-style architecture
Kanepokhari,Morang,Koshi,1,2000,Lake,"Sightseeing, Photography, Picnicking",easy,Natural intersection forest pond steeped in local folk legends
Sunbarsa,Morang,Koshi,1,3000,Village,"Cultural Tour, Photography, Village Walk",easy,"Border village showcasing rich, authentic Santhal and Rajbanshi cultures"
Jahuwa Village,Morang,Koshi,1,3000,Village,"Cultural Tour, Farm Tour, Photography",easy,Indigenous Tharu settlement centered around agricultural lifestyles
Tankisinuwari,Morang,Koshi,1,2500,Cultural,"Sightseeing, Local Food, Shopping",easy,"Industrial suburb hiding quiet, traditional outer ring-villages"
Kerabari,Morang,Koshi,1,3000,Cultural,"Farm Tour, Forest Walk, Local Food",easy,Farming foothill town famous for river stone crafts and forest honey
Gaighat (Triyuga),Udayapur,Koshi,1,4000,Cultural,"Sightseeing, Local Food, Shopping",easy,District capital nestled neatly within the inner-terai valley
Udayapurgadhi,Udayapur,Koshi,1,4500,Heritage,"Sightseeing, Hiking, Photography",moderate,The historic hilltop capital featuring ruins of the old Sen palace
Katari,Udayapur,Koshi,1,3500,Cultural,"Sightseeing, Shopping, Local Food",easy,Western gateway market town connecting to the hillside Churia range
Beltar,Udayapur,Koshi,1,3000,Cultural,"Sightseeing, Forest Walk, Local Food",easy,Agricultural commercial hub adjacent to lush community forests
Triyuga River Basin,Udayapur,Koshi,1,3500,River,"Fishing, Photography, Wetland Visit",easy,Wide river plains ideal for checking out local wetland farming
Rauta Pokhari,Udayapur,Koshi,1,5000,Lake,"Trekking, Photography, Picnicking",moderate,"Mystical pond at 2,000m tucked inside a dense hill forest"
Chaudandigadhi,Udayapur,Koshi,1,3500,Heritage,"Sightseeing, Hiking, Photography",moderate,Historic fort ruins of the ancient independent Chaudandi kingdom
Murkuchi,Udayapur,Koshi,1,2500,Bazaar,"Shopping, Local Food, Sightseeing",easy,Lively inner-valley trade junction point surrounded by hills
Mainamaini,Udayapur,Koshi,1,3000,Cultural,"Sightseeing, River Walk, Photography",easy,"Scenic, low-lying hill town bordering the massive Sapta Koshi River"
Nepaltar,Udayapur,Koshi,1,3000,Village,"Sightseeing, Photography, Valley Walk",easy,Picturesque valley settlement sitting along the Sagarmatha Highway
Jaljale (Udayapur),Udayapur,Koshi,1,3000,Cultural,"Sightseeing, Local Food, Shopping",easy,Town hosting major infrastructure alongside traditional communities
Bhuttar,Udayapur,Koshi,1,4500,Village,"Farm Tour, Cultural Tour, Photography",moderate,Indigenous Rai village practicing traditional organic hill farming
Danuwar Village (Rampur),Udayapur,Koshi,1,3500,Village,"Cultural Tour, Village Walk, Photography",easy,Authentic plain settlement preserving the Danuwar lifestyle
Chuhade,Udayapur,Koshi,1,2500,Village,"Cultural Tour, Farm Visit, Photography",easy,Suburban-agricultural zone specializing in traditional mustard oil pressing
Sunkoshi River Bank (Ghurmi),Udayapur,Koshi,1,8000,River,"Rafting, Fishing, Photography",moderate,Sandy river beaches perfect for fishing and rafting pit stops
Kakarbhitta,Jhapa,Koshi,1,3500,Cultural,"Sightseeing, Shopping, Border Tourism",easy,The primary eastern international border gateway to India
Bhadrapur,Jhapa,Koshi,1,4500,Cultural,"Sightseeing, Local Food, Flight Spotting",easy,Historic tea-processing river city hosting a key domestic airport
Birtamod,Jhapa,Koshi,1,3500,Bazaar,"Shopping, Local Food, Sightseeing",easy,"The hyper-commercial, fast-paced central economic hub of Jhapa"
Satighatta Tea Estate,Jhapa,Koshi,1,4000,Tea Estate,"Tea Garden Tour, Photography, Walking",easy,Stunning plains-level tea plantation near the border
Arjundhara Dham,Jhapa,Koshi,1,2500,Religious,"Pilgrimage, Sightseeing, Photography",easy,"Revered religious temple complex dubbed the ""Pashupatinath of Jhapa"""
Baidam,Kaski,Gandaki,1,1511,Cultural,Photography,easy,Main lakeside tourist strip; restaurants and nightlife
Lakeside,Kaski,Gandaki,1,1522,Cultural,Photography,easy,The core tourism promenade facing Phewa Lake
Khahare,Kaski,Gandaki,1,1533,Cultural,"Sunrise Viewing, Photography",easy,"Budget traveler zone, vibrant cafes, and lake views"
Sededi,Kaski,Gandaki,1,1544,Cultural,"Sunrise Viewing, Photography",easy,Quiet lakeside outskirt; paragliding landing views
Pame,Kaski,Gandaki,1,1555,Lake,Photography,easy,Famous for local fish delicacies and lakeside chilling
Chapaude,Kaski,Gandaki,1,1566,Cultural,"Sightseeing, Photography",easy,Growing residential outskirt of north Pokhara
Gairapatan,Kaski,Gandaki,1,1577,Bazaar,"Shopping, Photography",easy,Central urban street known for shopping and local commerce
Chipledhunga,Kaski,Gandaki,1,1588,Bazaar,"Shopping, Photography",easy,"The busy, central commercial market of Pokhara"
Mahendrapool,Kaski,Gandaki,1,1599,Bazaar,"Shopping, Photography",easy,Major old-city bridge and bustling shopping hub
Prithvi Chowk,Kaski,Gandaki,1,1610,Bazaar,"Sightseeing, Photography",easy,Main transportation junction connecting Pokhara to Kathmandu
Amar Singh Chowk,Kaski,Gandaki,1,1621,Bazaar,"Sightseeing, Photography",easy,Major urban intersection; gateway to industrial/hospital zones
Buddhabazar,Kaski,Gandaki,1,1632,Bazaar,"Sightseeing, Photography",easy,Quiet commercial residential area in eastern Pokhara
Simalchaur,Kaski,Gandaki,1,1643,Cultural,"Sightseeing, Photography",easy,Educational and institutional residential area
Parsyang,Kaski,Gandaki,1,1654,Cultural,"Sightseeing, Photography",easy,Busy intersection leading toward the highway to Baglung
Zero Galli,Kaski,Gandaki,1,1665,Cultural,"Sightseeing, Photography",easy,Trendy intersection packed with local restaurants and bars
Srijana Chowk,Kaski,Gandaki,1,1676,Bazaar,"Sightseeing, Photography",easy,Major business and banking hub in Pokhara city
Matepani,Kaski,Gandaki,1,1687,Religious,"Pilgrimage, Photography",easy,Home to a magnificent hilltop Buddhist Monastery
Kundahar,Kaski,Gandaki,1,1698,Cultural,"Sightseeing, Photography",easy,Agricultural plains transformed into an urban residential zone
Birauta,Kaski,Gandaki,1,1709,Bazaar,"Sightseeing, Photography",easy,Southern urban hub leading toward Devi's Fall
Chhorepatan,Kaski,Gandaki,1,1720,Cave,"Sightseeing, Photography",easy,Tibetan refugee settlement and cave exploration site
Nayabazar,Kaski,Gandaki,1,1731,Cultural,"Cultural Tour, Photography",easy,Famous for hosting regional festivals and traditional exhibitions
Ranipauwa,Kaski,Gandaki,1,1742,Bazaar,"Shopping, Photography",easy,Commercial market known for electronics and local trade
Gharipatan,Kaski,Gandaki,1,1753,Cultural,"Sightseeing, Photography",easy,Residential area bordering the Pokhara Airport
Archalbot,Kaski,Gandaki,1,1764,Cultural,"Sightseeing, Photography",easy,Old city residential crossing near urban green patches
Nadipur,Kaski,Gandaki,1,1775,Cultural,"Cultural Tour, Photography",easy,Home to old traditional Pokhara architecture and institutions
Bagar,Kaski,Gandaki,1,1786,Heritage,"Sightseeing, Photography",easy,Ancient gateway to northern Kaski; college student hub
Lamachaur,Kaski,Gandaki,1,1797,Cave,"Sightseeing, Camping, Photography",easy,"Famous for green meadows, engineering campuses, and caves"
Batulechaur,Kaski,Gandaki,1,1808,Cave,"Cultural Tour, Sightseeing, Photography",easy,Traditional home of Gandharba musical culture and Mahendra Cave
Hemja,Kaski,Gandaki,1,1819,Cultural,"Sightseeing, Photography",easy,Vast valley plain known for potato farming and Tibetan monasteries
Yamdi,Kaski,Gandaki,1,1830,River,Photography,easy,River crossing point on the highway heading north
Hyangja,Kaski,Gandaki,1,1841,Village,"Trekking, Photography",easy,Gateway village leading toward Mardi Himal trails
Suikhet,Kaski,Gandaki,1,1852,Hill Station,"Sightseeing, Photography",easy,Fertile lowlands beneath the beautiful Naudanda ridge
Harichowk,Kaski,Gandaki,1,1863,Cultural,"Sightseeing, Photography",easy,Bustling public vehicle boarding station for rural Kaski routes
Phoolbari,Kaski,Gandaki,1,1874,Cultural,"Sightseeing, Photography",easy,Upscale resort and residential neighborhood
Kaskikot,Kaski,Gandaki,1,1896,Religious,"Pilgrimage, Photography",easy,Ancient ruins of the Kaski Kingdom; sacred hilltop shrine
Naudanda,Kaski,Gandaki,1,1907,Lake,"Sunrise Viewing, Photography",easy,Ridge village offering double-sided views of lakes and mountains
Pothana,Kaski,Gandaki,1,1929,Hill Station,"Trekking, Photography",easy,Forested ridge checkpoint on the Annapurna Circuit/Mardi route
